id,url,title,summary,nature,purpose,invoke,entry,compat,output,requires,weight,license,status,saved_at,archive_path,metadata_path,notes,style,content_scope,access_cost,confidence,highlights,status_note,verified_at,granularity,catalog_status,related_item_id,resource_role,design_subjects,design_units,platforms,access_paths,provider_tier,aesthetic,techniques
001,https://github.com/kikkupico/ambientcss,Ambient CSS — physics-based lighting system for CSS,物理光照 CSS 系统：定义光源方向/强度后，全部阴影、高光、表面渐变自动保持物理一致；做拟物硬件面板、实体感 UI 时用,库,前端设计,库代码,packages/ambient-css; npm:@ambientcss/css,通用,css,node,L,MIT,archived,2026-09-12T18:33:31Z,,,,物理光照; 拟物质感,CSS库,free,high,amb-surface/chamfer 表面组件; 光源向量全局联动; 设计令牌间距体系; 含 React 组件包,,2026-09-18,technique,active,,implementation,design-system; visual-effects,technique,web,browser; local-archive; package,none,拟物质感,物理光照
002,https://github.com/google-labs-code/design.md,DESIGN.md — design-system format for coding agents (Google Labs),Google DESIGN.md 规范+校验 CLI：把视觉身份写成机器可读令牌+设计理由，喂给 Agent 当持久设计系统；要锁定品牌视觉时用,规范,前端设计,规范文档,docs/spec.md; npx @google/design.md lint DESIGN.md,通用;agent,设计令牌,node,S,Apache-2.0,archived,2026-09-12T18:33:31Z,,,,,规范文档,free,high,YAML令牌+Markdown说明; lint/WCAG对比度校验; npx @google/design.md,,2026-09-18,technique,active,,guidance,design-system; typography; agent-guidance,technique,web,browser; local-archive,none,,
003,https://github.com/pbakaus/impeccable,Impeccable — design guidance for AI coding agents,去 AI 味设计 Skill：1 skill + 23 命令 + 61 条确定性检测规则，专治 Inter 字体/紫蓝渐变/卡片套卡片等 AI 模板脸；产出要像人做的前端时用,skill,前端设计,skill,npx impeccable install; plugin/skills/impeccable/SKILL.md,agent-skills;cursor;claude;codex,设计指导,无;可选browser,L,Apache-2.0,archived,2026-09-12T18:33:31Z,,,,,设计指导,free,high,61条反模式检测; polish/audit/bolder/quieter 命令; PRODUCT.md 产品认知,,2026-09-18,technique,active,,guidance,agent-guidance; design-system; documentation,technique,web,browser; local-archive; skill,none,,
004,https://github.com/cathrynlavery/diagram-design,Diagram Design — editorial HTML/SVG diagrams for AI coding agents,编辑风 HTML/SVG 图示 Skill：39 种图示类型（架构图/飞轮/桑基图/鱼骨图等），无阴影无 Mermaid 味；做文章配图、架构图时用,skill,前端设计,skill,skills/diagram-design/SKILL.md,agent-skills;claude;codex,html+svg,无,M,MIT,archived,2026-09-12T18:34:44Z,,,,编辑风,图示模板,free,high,39种图示语法; 可重绘 Mermaid/draw.io 源; 语义模式与布局分离; 静态默认+可选动效,,2026-09-18,technique,active,,guidance,documentation,technique,web; documents,browser; local-archive; skill,none,编辑风,
005,https://github.com/yan9651688/yituo-hub-studio,YI TUO HUB STUDIO — WeChat Markdown typesetting workshop (公众号排版工坊),公众号排版工坊：Markdown 一键排成微信编辑器可粘贴的精致 HTML，18 基础主题+15 高级排版+动静态组件；出公众号文章时用,工具,内容排版,本地工具,python3 -m http.server 8123 → studio.html; https://studio.yituohub.com,通用,排版html,browser;可选python,L,AGPL-3.0,archived,2026-09-12T18:38:51Z,,,,编辑风,排版主题,free,high,33套主题; 杂志级封面卡; 合规红线校验; 样式内联不掉格式,,2026-09-18,asset,adjacent,,creation-tool,documentation,asset,web; documents,browser; local-archive; cli,none,编辑风,
006,https://github.com/s1dashu/ip-as-logo-skill,IP as Logo — Agent Skill for simple cute company-ready IP mascots,可爱方形 IP 吉祥物 Skill：4–7 个大形状构建剪影、三色语义、圆润厚实无尖锐细节，批量出公司级吉祥物；需图像模型,skill,品牌设计,skill,SKILL.md; npx skills@latest add s1dashu/ip-as-logo-skill,agent-skills,图片,image-model,S,MIT,archived,2026-09-12T18:39:55Z,,,,俏皮可爱,图像Skill,free,high,4-7形状极简剪影; 六候选图流程; 免费商用图库,,2026-09-18,asset,active,,guidance,brand-assets,asset,web; brand,browser; local-archive; skill,none,俏皮可爱,
007,https://github.com/oil-oil/beautify-github-readme,Beautify GitHub README — Agent Skill for project-native README redesign (SVG/GIF),README 视觉重设计 Skill：为仓库定制 SVG/GIF hero、真实案例展示与安装路径图示，六种项目原生设计方向；要 README 有视觉记忆点时用,skill,前端设计,skill,skills/beautify-github-readme/SKILL.md; npx skills add oil-oil/beautify-github-readme,agent-skills;codex;claude,markdown+svg,agent;可选image-model,L,MIT,archived,2026-09-12T18:47:19Z,,,,,README视觉,free,high,SVG/GIF hero; 六种项目类型方向; 真实案例区块,,2026-09-18,technique,active,,guidance,documentation; agent-guidance,technique,web; documents,browser; local-archive; skill,none,,
008,https://github.com/anomalyco/models.dev,models.dev — open-source AI model specs/pricing/capabilities database,开源 AI 模型规格/定价/能力库：api.json 直接查所有厂商模型参数与价格；查模型能力与价格时用（非设计类）,库,后端,库代码,curl https://models.dev/api.json; models.json; providers/; packages/sdk,通用;opencode,json,无;可选bun,L,MIT,archived,2026-09-12T18:47:19Z,,,,,数据API,free,high,公开GET API; TOML数据可贡献; provider logo SVG,,2026-09-18,workflow,adjacent,,implementation,engineering-data,workflow,general,browser; local-archive; package,none,,
009,https://github.com/Panniantong/Agent-Reach,Agent Reach — CLI/skill that gives AI agents internet access across 15 platforms,Agent 跨平台联网 CLI/Skill：15 个平台的网页内容读取，安装即用；Agent 要读网页时用（非设计类）,工具,信息获取,本地工具,agent-reach install --env=auto; npx skills add Panniantong/Agent-Reach@agent-reach; agent_reach/skill/SKILL.md,通用;agent-skills;claude;cursor,网页内容,python;可选cookie,M,MIT,archived,2026-09-12T18:50:24Z,,,,,联网CLI,free,high,15平台适配; skill一键装; 可选cookie登录,,2026-09-18,workflow,adjacent,,creation-tool,agent-guidance,workflow,general,browser; local-archive; cli,none,,
010,https://github.com/emmabostian/developer-portfolios,Developer Portfolios — curated list of 1981 developer personal sites for design inspiration,开发者作品集灵感目录：1981 个真实开发者个人站链接，按字母索引；做个人主页要参考同类时用,目录,前端设计,规范文档,README.md; feed.json,通用,灵感清单,无,S,unspecified,archived,2026-09-12T18:50:24Z,,,,,整站灵感清单,free,high,1981个站点; 按字母+职业筛选,,2026-09-18,site,active,,reference,site-inspiration; landing-page,site,web,browser; local-archive,none,,
011,https://github.com/dotnet/skills,.NET Agent Skills — official .NET team evaluable skill plugins for coding agents,.NET 官方 Agent Skills：16 插件 98 技能，含诊断/MSBuild/升级/MAUI，带价值评估面板；做 .NET 工程时用（非设计类）,skill,后端,skill,/plugin marketplace add dotnet/skills; plugins/*/skills/*/SKILL.md,agent-skills;claude;cursor;codex;copilot,代码指导,无;可选dotnet,L,MIT,archived,2026-09-12T18:50:24Z,,,,,工程Skill,free,high,98个官方技能; LSP集成; 技能价值仪表盘,,2026-09-18,workflow,adjacent,,guidance,agent-guidance,workflow,general,browser; local-archive; skill,none,,
012,https://appshots.design,Appshots — mobile & web UX screenshot and flow library,精选应用截图灵感库：无订阅 $199 终身买断；做 App Store 截图、竞品视觉参考时用,灵感库,前端设计,本地工具,https://github.com/itsOwen/appshots.design-mcp; https://appshots.design,通用;browser;mcp,ui截图参考,browser;login;node;可选paywall,S,proprietary,metadata-only,2026-09-12T18:58:34Z,,,,,UI截图,paid,medium,,,2026-09-18,flow,active,,reference,mobile-ux; ux-flow,flow; asset,web; mobile,browser; provider-mcp,unknown,,
013,https://screensdesign.com,ScreensDesign — iOS app design library (onboarding/paywalls + MCP),转化导向的 iOS 设计研究库：榜单应用完整流程与付费墙录像，Pro 含官方 MCP；做 onboarding/增长设计时用,灵感库,前端设计,本地工具,https://api.screensdesign.com/v1/mcp; npx skills@latest add screensdesign-com/screensdesign-agent-skill --skill screensdesign-data; https://screensdesign.com,通用;browser;mcp;agent-skills,ui截图参考,browser;login;paywall,S,proprietary,metadata-only,2026-09-12T18:58:34Z,,,,,UX流程|付费墙|UI截图,free-tier,medium,,,2026-09-18,flow,active,,reference,mobile-ux; ux-flow,flow,web; mobile,browser; provider-mcp,paid,,
014,https://refero.design,Refero — web & iOS UI/UX reference screenshots with MCP/Skill,Web/iOS 海量 UI/UX 截图参考库：主打高级搜索，MCP 随 Pro 提供；做界面调研时用,灵感库,前端设计,本地工具,https://api.refero.design/mcp; npx skills add https://github.com/referodesign/refero_skill --skill refero-design; https://refero.design,通用;browser;mcp;agent-skills,ui截图参考,browser;login;paywall,S,proprietary,metadata-only,2026-09-12T18:58:34Z,,,,,UI截图|UX流程,paid,medium,,,2026-09-18,flow,active,,reference,mobile-ux; ux-flow,flow,web; mobile,browser; provider-mcp,paid,,
015,https://pageflows.com,Page Flows — recorded UX flows and screens from top apps,真实产品 UX 流程录屏库：步骤标注+筛选，订阅制（$2.95 试用）无免费层；研究 onboarding/结账流程时用,灵感库,前端设计,规范文档,https://pageflows.com,通用;browser,ui截图参考,browser;login;paywall,S,proprietary,metadata-only,2026-09-12T18:58:34Z,,,,,UX流程|UI截图,paid,medium,,,2026-09-18,flow,active,,reference,mobile-ux; ux-flow,flow,web; mobile,browser,none,,
016,https://mobbin.com,Mobbin — mobile & web UI/UX screenshot library (famous),Mobbin：真实上线产品的屏幕/流程/组件参考大库，免费账户限量，Pro 含 MCP、Team 含 REST API；要 AI 取材界面参考时用,灵感库,前端设计,本地工具,https://api.mobbin.com/mcp; https://mobbin.com,通用;browser;mcp,ui截图参考,browser;login;paywall,S,proprietary,metadata-only,2026-09-12T18:58:34Z,,,,,UI截图|UX流程|组件,free-tier,medium,,,2026-09-18,flow,active,,reference,mobile-ux; ux-flow,flow,web; mobile,browser; provider-mcp,paid,,
017,https://gummble.com,Gummble — affordable Mobbin-alternative UI screenshots & MCP,Mobbin 平价替代：30万+截图、2.1万+UX 流程，免费层+$9.99 起，官方 MCP（14 只读工具）+公开 API,灵感库,前端设计,本地工具,https://mcp.gummble.com/mcp; https://gummble.com,通用;browser;mcp,ui截图参考,browser;login;paywall,S,proprietary,metadata-only,2026-09-12T18:58:34Z,,,,,UI截图|UX流程,free-tier,medium,,,2026-09-18,flow,active,,reference,mobile-ux; ux-flow,flow,web; mobile,browser; provider-mcp,paid,,
018,https://collectui.com,CollectUI — daily curated UI inspiration gallery,每日 UI 灵感聚合站（Panda Network）：赞助变现可免费浏览；快速逛每日界面灵感时用,灵感库,前端设计,本地工具,https://github.com/rayhankhilji/collectui-mcp; https://collectui.com,通用;browser;mcp,灵感清单,browser;可选node;ffmpeg,S,proprietary,metadata-only,2026-09-12T18:58:34Z,,,,,UI截图|每日灵感,free,medium,,,2026-09-18,component,active,,reference,component-inspiration; components,component; effect,web,browser; provider-mcp,unknown,,
019,https://revyl.com,Revyl — mobile development/testing platform (not a UI gallery),移动开发/测试平台（云真机+自动化，含官方 MCP/Cursor 接入）：注意非设计参考库；Agent 要操控真机测试时用,工具,前端设计,本地工具,revyl mcp serve; revyl auth login; https://revyl.com,通用;browser;mcp;ci;agent,ui截图参考,browser;login;可选api-key,S,proprietary,metadata-only,2026-09-12T18:58:34Z,,,,,移动端测试|云真机,free-tier,medium,,,2026-09-18,workflow,adjacent,,adjacent-tool,testing; mobile-ux,workflow,web; mobile,browser; provider-mcp,unknown,,
020,https://github.com/mattpocock/skills,Skills For Real Engineers — Matt Pocock composable agent skills (SDD/TDD),Matt Pocock 工程 Skills：37 个可组合小技能（SDD/TDD），不接管流程只给抓手；要做真实工程而非 vibe coding 时用（非设计类）,skill,软件工程,skill,npx skills@latest add mattpocock/skills; claude plugins install mattpocock-skills; skills/engineering/*/SKILL.md,agent-skills;claude;codex;cursor;copilot;windsurf;cline;gemini,工程指导,无,L,MIT,archived,2026-09-13T08:19:45Z,,,,,工程Skill,free,high,37个可组合技能; SDD/TDD流程,,2026-09-18,workflow,adjacent,,guidance,agent-guidance; documentation,workflow,web; documents,browser; local-archive; skill,none,,
021,https://neuform.ai,Neuform — AI HTML landing pages + remix templates with DESIGN.md,AI 落地页生成器+可混搭模板：产出 agent-ready DESIGN.md 设计系统；快速出营销页再交 AI 复刻时用（定价未核实）,工具,前端设计,规范文档,https://neuform.ai,通用;browser;agent,设计令牌;html,browser;login;paywall,S,proprietary,metadata-only,2026-09-14T07:05:18Z,,,,,落地页|设计系统,unknown,medium,,,2026-09-18,section,active,,creation-tool,landing-page; site-inspiration,section,web,browser,none,,
022,https://typeui.sh,TypeUI — design skills / DESIGN.md CLI + MCP for AI coding agents,TypeUI：DESIGN.md CLI+MCP，把设计系统/提示词/布局变体按需供给编码 Agent；要给 Agent 挂设计约束时用,工具,前端设计,本地工具,npx typeui.sh generate|pull <slug>; https://mcp.typeui.sh/mcp,通用;mcp;agent-skills;cursor;claude;codex,设计令牌;skill,node;可选browser;login,M,MIT,archived,2026-09-14T07:05:18Z,,,,,设计系统供应,free-tier,high,官方MCP; CLI生成skill文件; 需登录,,2026-09-18,technique,active,,creation-tool,design-system; agent-guidance,technique,web,browser; local-archive; cli; provider-mcp,free-tier,,
023,https://aura.build,Aura — AI website builder with DESIGN.md systems (Meng To),Meng To 的 AI 建站工具：秒级生成网页/移动 UI/动效并导出 HTML 与 Figma；要快速视觉原型时用（第三方评测约 $20/月）,工具,前端设计,规范文档,https://mcp.aura.build/mcp; https://aura.build,通用;browser;mcp;agent,设计令牌;html,browser;login;paywall,S,proprietary,metadata-only,2026-09-14T07:05:18Z,,,,,AI建站|移动UI|动效,paid,medium,,,2026-09-18,site,active,,creation-tool,landing-page; design-system; site-inspiration,site,web,browser; provider-mcp,paid,,
024,https://design-md.hyperbrowser.ai,DESIGNMD (Hyperbrowser) — URL → DESIGN.md via branding fetch,Hyperbrowser 单用途工具：从任意 URL 提取符合 Google 开放标准的 DESIGN.md；要抄某站设计系统时用（第三方目录标免费，未见 MCP）,工具,前端设计,本地工具,npx -y hyperbrowser-mcp; https://design-md.hyperbrowser.ai,通用;mcp;browser;agent,设计令牌,browser;api-key,S,proprietary,metadata-only,2026-09-14T07:05:18Z,,,,,DESIGN.md提取,free,medium,,,2026-09-18,technique,active,,creation-tool,design-system; agent-guidance,technique,web,browser; cli; provider-api,free-tier,,
025,https://designmd.supply,designmd.supply — Context.dev open-source URL→DESIGN.md supply,开源 URL→DESIGN.md 供应端：任意域名返回 Google 规格 DESIGN.md，缓存命中走免费公共 GET；要抄某站的设计系统时用,工具,前端设计,本地工具,GET /api/design-md?domain=; https://designmd.supply,通用;browser;agent,设计令牌,node;browser;api-key,M,MIT,archived,2026-09-14T07:05:18Z,,,,,URL提取,free-tier,high,缓存GET免费; Context.dev管线; 可自部署,,2026-09-18,technique,active,,creation-tool,design-system; agent-guidance,technique,web,browser; local-archive; cli; provider-api,free,,
026,https://open-design.ai,OpenDesign — open-source Claude Design alternative (DESIGN.md workspace),开源 Claude Design 替代：本地 DESIGN.md 工作区，检测已装编码 Agent 并流式渲染设计产物；要本地化设计工作流时用，可 BYOK,工具,前端设计,本地工具,od mcp install <agent>; pnpm tools-dev; https://open-design.ai,通用;mcp;agent;desktop;claude;cursor;codex,设计令牌;html;原型,node;可选desktop;可选api-key,L,Apache-2.0,archived,2026-09-14T07:05:18Z,,,,,设计工作区,free,high,本地优先; BYOK; 云服务可选付费,,2026-09-18,workflow,active,,creation-tool,design-system; agent-guidance,workflow,web,browser; local-archive; cli,none,,
027,https://designmd.me,DesignMD (designmd.me) — URL→DESIGN.md + HTML preview + Figma (Crowdlinker),URL→精确设计 tokens 生成 DESIGN.md：附 Figma 一键导入，credit 计费免绑卡起步；沉淀可复用设计系统时用,工具,前端设计,本地工具,npx @crowdlinker/designmdme; npx skills add crowdlinker/skills --skill designmdme-cli; https://designmd.me,通用;browser;agent-skills;cli,设计令牌;html,browser;login;credits;node,S,proprietary,metadata-only,2026-09-14T07:05:18Z,,,,,DESIGN.md提取|tokens,free-tier,medium,,,2026-09-18,technique,active,,creation-tool,design-system; agent-guidance,technique,web,browser; cli,none,,
